,conference,Field,Subfield,Google Scholar URL,Full Name,Abbr.
1,aaai,Engineering & Computer Science,Artificial Intelligence,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_artificialintelligence,AAAI Conference on Artificial Intelligence,AAAI
2,corl,Engineering & Computer Science,Artificial Intelligence,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_artificialintelligence,Conference on Robot Learning,CoRL
3,uai,Engineering & Computer Science,Artificial Intelligence,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_artificialintelligence,Conference on Uncertainty in Artificial Intelligence,UAI
4,iclr,Engineering & Computer Science,Artificial Intelligence,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_artificialintelligence,International Conference on Learning Representations,ICLR
5,icml,Engineering & Computer Science,Artificial Intelligence,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_artificialintelligence,International Conference on Machine Learning,ICML
6,nips,Engineering & Computer Science,Artificial Intelligence,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_artificialintelligence,Neural Information Processing Systems,NeurIPS
7,emnlp,Engineering & Computer Science,Computational Linguistics,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_computationallinguistics,Conference on Empirical Methods in Natural Language Processing,EMNLP
8,colm,Engineering & Computer Science,Computational Linguistics,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_computationallinguistics,Conference on Language Modeling,COLM
9,coling,Engineering & Computer Science,Computational Linguistics,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_computationallinguistics,International Conference on Computational Linguistics,COLING
10,acl,Engineering & Computer Science,Computational Linguistics,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_computationallinguistics,Meeting of the Association for Computational Linguistics,ACL
11,siggraph,Engineering & Computer Science,Computer Graphics,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_computergraphics,SIGGRAPH,SIGGRAPH
12,siggraphasia,Engineering & Computer Science,Computer Graphics,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_computergraphics,SIGGRAPH Asia,SIGGRAPH Asia
13,bmvc,Engineering & Computer Science,Computer Vision & Pattern Recognition,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_computervisionpatternrecognition,British Machine Vision Conference,BMVC
14,eccv,Engineering & Computer Science,Computer Vision & Pattern Recognition,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_computervisionpatternrecognition,European Conference on Computer Vision,ECCV
15,cvpr,Engineering & Computer Science,Computer Vision & Pattern Recognition,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_computervisionpatternrecognition,IEEE/CVF Conference on Computer Vision and Pattern Recognition,CVPR
16,iccv,Engineering & Computer Science,Computer Vision & Pattern Recognition,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_computervisionpatternrecognition,IEEE/CVF International Conference on Computer Vision,ICCV
17,wacv,Engineering & Computer Science,Computer Vision & Pattern Recognition,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_computervisionpatternrecognition,IEEE/CVF Winter Conference on Applications of Computer Vision,WACV
18,3dv,Engineering & Computer Science,Computer Vision & Pattern Recognition,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_computervisionpatternrecognition,International Conference on 3D Vision,3DV
19,kdd,Engineering & Computer Science,Data Mining & Analysis,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_datamininganalysis,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,KDD
20,sigir,Engineering & Computer Science,Databases & Information Systems,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_databasesinformationsystems,ACM SIGIR Conference on Research and Development in Information Retrieval,SIGIR
21,www,Engineering & Computer Science,Databases & Information Systems,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_databasesinformationsystems,International World Wide Web Conferences,WWW
22,acmmm,Engineering & Computer Science,Multimedia,https://scholar.google.es/citations?view_op=top_venues&hl=en&vq=eng_multimedia,ACM International Conference on Multimedia,ACM-MM
